,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,HitRatio,Skew,KurtosisExcess,VaR_95,CVaR_95,Alpha_ann,Beta,R2,Corr_SPX,TrackingError,InformationRatio
Fund 1,0.16821751202208146,0.09474593374218566,1.5363016443237163,1.9002840614100702,-0.17627697721229574,0.9542795360025489,0.6477272727272727,-0.04769618548585875,-0.3407602469221169,-0.029779603749999998,-0.039251073077777775,0.14718763300098714,0.4366366510587606,0.5039815592081567,0.7099165860917439,0.10947145988297158,0.9847027179607143
Fund 2,0.1095621170334109,0.06810932426583054,1.2913458830803053,1.5949637398517853,-0.04350807999999995,2.518201608377364,0.6428571428571429,0.17176870089002877,0.5661042794436391,-0.017274999999999992,-0.03136666666666667,0.06338303047012928,0.288280299633305,0.3195357459303273,0.5652749295080468,0.11041483420504146,-0.4905060949229442
Fund 3,0.07048074758810152,0.0351833507046397,1.40900276651736,1.2800872942069488,-0.07242230391660587,0.9731911825017325,0.8090909090909091,-0.3265228752556085,1.38808946300473,-0.01250999999999999,-0.01858333333333333,0.06360898089050471,0.07896176922287768,0.1159347978875559,0.34049199386704526,0.1435973484357746,-0.21220486817733572
S&P 500 w/ Div,0.04098418899517675,0.1540450387415491,0.1336391520971479,0.11736685355637126,-0.5094874754228009,0.08044199508764333,0.6193181818181818,-0.568003346648345,0.9401797757838062,-0.0790923006,-0.09917639128888889,,,,,,
