Date,S&P 500 w/ Div,Beta Portfolio,Fund 1,Fund 2,Fund 3
2012-07-31,0.0138891415,0.016002460482418567,0.003,-0.0149,0.0112
2012-06-30,0.0412020703,0.054812825402239286,0.002,0.018,-0.0082
2012-05-31,-0.0601005706,-0.052442024634702024,-0.017,-0.0386,-0.0064
2012-04-30,-0.0062768573,0.004530603321097131,-0.007,-0.0035,0.0026
2012-03-31,0.0329092074,0.017700806637436527,-0.005,0.0204,0.0011
2012-02-29,0.0432421817,0.032182061465556557,0.011,0.0257,0.0035
2012-01-31,0.0448150896,0.03107969539683561,0.045,0.0371,0.0066
2011-12-31,0.0102293928,-0.011643751011398801,-0.001,0.0034,0.0035
2011-11-30,-0.0022102791,0.01820272133342802,0.029,-0.0026,-0.0005
2011-10-31,0.1092931439,0.10579049766898486,0.034,0.0625,-0.0005
2011-09-30,-0.0702985963,-0.07171904398083837,-0.013,-0.0105,-0.0149
2011-08-31,-0.0543218163,-0.05005637409754524,-0.027,0.0253,-0.0186
2011-07-31,-0.0203349032,-0.0008914739059959053,0.01,-0.0062,0.0059
2011-06-30,-0.0166691305,0.018075639277689147,-0.009,0.0152,-0.0093
2011-05-31,-0.0113194634,-0.0003199848533615556,0.016,0.0011,0.0007
2011-04-30,0.0296154263,0.0022926175283198933,-0.007,-0.0091,0.0028
2011-03-31,0.0003975786,-0.0019683430499785257,0.014,0.0151,0.0106
2011-02-28,0.0342589012,0.03641258265043713,-0.002,0.004,0.0174
2011-01-31,0.0237015848,0.02844221182082065,0.023,0.0231,0.0097
2010-12-31,0.0668318668,0.05849694463694465,0.057,0.03,0.0061
2010-11-30,0.0001281802,-0.013566554881935335,0.008,0.0095,0.0102
2010-10-31,0.0380491694,0.03698042253254595,0.043,0.0206,0.0115
2010-09-30,0.0892444478,0.07521991146219793,0.0548861345,0.0541,0.0076
2010-08-31,-0.0451442843,-0.05098279475579367,-0.0260146734,-0.01,0.0038
2010-07-31,0.0700635309,0.05924928431927017,0.0588355346,0.0178,0.0111
2010-06-30,-0.0523486737,-0.03581107950033394,-0.031934549,0.0103,0.002
2010-05-31,-0.0798505782,-0.06762665410200985,-0.0301463455,-0.0164,-0.0055
2010-04-30,0.0157874325,0.012221492302652933,0.0257853255,0.0065,0.0308
2010-03-31,0.0603448229,0.048785938304333636,0.0536715141,0.0368,0.0123
2010-02-28,0.0309772282,0.03198973592867177,0.0369776521,0.0083,0.0078
2010-01-31,-0.0359733529,-0.012110971535420683,-0.0317,0.0325,0.0211
2009-12-31,0.0193154669,0.024928674635952296,0.0359501194,,0.025
2009-11-30,0.0599834888,0.047680799254521164,0.0431885608,,0.0222
2009-10-31,-0.0185768144,-0.009846240451246444,-0.0156765332,,0.002
2009-09-30,0.03731526,0.03359818879716453,0.0694934979,,0.0078
2009-08-31,0.0361040543,0.02751878338236858,0.0217800256,,0.0205
2009-07-31,0.0756369347,0.0667779540659558,0.0544655273,,0.0096
2009-06-30,0.0019839983,0.0053759422734092396,0.0636659052,,0.0123
2009-05-31,0.0559331473,0.0513105543179519,0.0320059401,,0.0354
2009-04-30,0.0957093591,0.08885385262810615,0.0368785973,,0.0274
2009-03-31,0.0875954712,0.09379184581985432,0.0309401483,,-0.0066
2009-02-28,-0.1064779671,-0.09513692339845889,-0.0225628738,,-0.0015
2009-01-31,-0.0842863199,-0.0603170325226197,-0.0076842216,,0.013
2008-12-31,0.0106400664,0.0076104946496756715,0.0238231113,,-0.0188
2008-11-30,-0.0717549041,-0.07254434342543835,-0.0394542098,,-0.0268
2008-10-31,-0.167947576,-0.1561359358418706,-0.0639130712,,-0.0091
2008-09-30,-0.0891074864,-0.062479480120830745,-0.0542836122,,-0.0113
2008-08-31,0.0144648961,0.0198352335303342,0.0375298173,,0.0009
2008-07-31,-0.0084062239,0.010522095723453001,-0.0193345312,,0.0103
2008-06-30,-0.0843038469,-0.06697864344968724,-0.0412598627,,0.0156
2008-05-31,0.0129526499,0.004357679135685846,0.0350362231,,0.0022
2008-04-30,0.0487033726,0.03482924575809718,0.0665119655,,-0.0135
2008-03-31,-0.0043180491,0.020380059728119,-0.0104827424,,0.0009
2008-02-29,-0.0324858008,0.0023916073373734994,-0.0026209248,,-0.002
2008-01-31,-0.0599813896,-0.0545091161524034,-0.0305865301,,0.0002
2007-12-31,-0.006937818,0.005012087159073772,0.0476844555,,0.0035
2007-11-30,-0.0418064513,-0.019487296074008183,-0.0297123126,,0.0039
2007-10-31,0.0159067284,0.009399277300603458,0.0361788894,,0.0001
2007-09-30,0.0373985635,0.03381496344382477,0.0558728688,,-0.0189
2007-08-31,0.0149901799,0.005857655430916474,-0.010923481,,-0.0112
2007-07-31,-0.0310048511,-0.020894527737475486,-0.0181843574,,0.0056
2007-06-30,-0.0166131917,-0.022645301683652967,0.0135300134,,0.0099
2007-05-31,0.0348950524,0.01604810438394684,0.0543441918,,0.0041
2007-04-30,0.0442953112,0.04063767898291694,0.0319484149,,0.0167
2007-03-31,0.0111849338,0.009710926173748644,0.0170019895,,0.0088
2007-02-28,-0.019558947,0.006514123148884781,-0.0067769273,,0.0114
2007-01-31,0.0151235495,-0.0020373771007378798,0.0268475876,,0.014
2006-12-31,0.0140276499,-0.006082463167233838,-0.0019429582,,0.0236
2006-11-30,0.0190160814,-0.006715314646643785,0.0471281296,,0.0176
2006-10-31,0.0325860248,0.029144606559588233,0.0466572378,,0.0092
2006-09-30,0.0257699986,0.021350741347434844,0.0277991017,,0.0076
2006-08-31,0.0237931354,0.038227499335781026,0.0465075688,,0.0103
2006-07-31,0.0061685028,0.015730680652175026,-0.0191871705,,-0.0015
2006-06-30,0.001355602,-0.0040664578495085285,-0.0068570004,,0.0036
2006-05-31,-0.0287813228,-0.020979787549441693,-0.0093165522,,0.0093
2006-04-30,0.013428045,0.01010273084330829,0.021494244,,0.0137
2006-03-31,0.0124470715,-0.005282208353725025,0.0224023255,,0.0089
2006-02-28,0.0027137217,-0.01803029257007296,0.0283333063,,0.0009
2006-01-31,0.0264775223,0.014963131583274293,-0.0038516936,,0.0117
2005-12-31,0.0003481193,-0.0047345392535010165,0.0137649298,,0.0074
2005-11-30,0.0378222979,0.04636338660024517,0.0380639338,,0.0055
2005-10-31,-0.0166708664,-0.00654204903049087,-0.0153387659,,0.0018
2005-09-30,0.0080993156,-0.014940659704107665,-0.0115300919,,0.0128
2005-08-31,-0.0091240639,-0.001231767769922669,-0.0155395683,,0.0088
2005-07-31,0.0371885061,0.0375865779257174,0.0430562967,,0.0039
2005-06-30,0.0014193891,-0.001651231716079126,0.0234844347,,
2005-05-31,0.0318184002,0.01865733381071475,0.0422840879,,
2005-04-30,-0.0189654418,0.0017205301708992284,-0.0190180499,,
2005-03-31,-0.0177080503,0.0012431229963619037,-0.011483681,,
2005-02-28,0.0210442198,0.02393708926661068,0.0196329274,,
2005-01-31,-0.0243750097,-0.0019732262207089457,-0.0193547906,,
2004-12-31,0.0340286624,0.03608262348060016,0.0184641845,,
2004-11-30,0.0404615673,0.03888716324547765,0.0238639724,,
2004-10-31,0.015277272,0.001943826749836874,0.0212108139,,
2004-09-30,0.0108305907,-0.006595890332981885,0.019984599,,
2004-08-31,0.0040449416,0.005058241844858166,-0.0173320842,,
2004-07-31,-0.033096938,-0.021834989296281616,0.0005949054,,
2004-06-30,0.019444937,0.01377179121554995,0.0327679619,,
2004-05-31,0.0137228988,0.020597423532792702,0.0115637418,,
2004-04-30,-0.0156984283,0.0058760000335660294,-0.0018235139,,
2004-03-31,-0.0150862326,-0.0024896042515407547,0.0209001056,,
2004-02-29,0.0138994438,0.034465414941064566,-0.0181562431,,
2004-01-31,0.0183549721,0.01598355166844763,0.0052142287,,
2003-12-31,0.0524445776,0.024964706113948888,0.0543914226,,
2003-11-30,0.0087981489,0.01989145187151929,0.017033131,,
2003-10-31,0.0565700355,0.05932727832656227,0.042829574,,
2003-09-30,-0.0106195574,0.0027657614995373406,-0.011661456,,
2003-08-31,0.0195024991,0.007652386629214339,0.0248845242,,
2003-07-31,0.01763135,0.02023530831891719,0.0094301976,,
2003-06-30,0.0127568397,0.007507814233944461,0.0425671681,,
2003-05-31,0.0526871538,0.04204496872592155,0.0291385252,,
2003-04-30,0.0823705479,0.089894721880775,0.0579288314,,
2003-03-31,0.0097089305,0.008570501522074283,-0.0077643185,,
2003-02-28,-0.0150040142,0.0034504466599878415,0.0124884942,,
2003-01-31,-0.0261961851,-0.017022533986861155,-0.0118042002,,
2002-12-31,-0.0587480185,-0.03410802024806967,0.0065892612,,
2002-11-30,0.0588591375,0.03903549703634921,0.0762943316,,
2002-10-31,0.0880164465,0.05560899001724832,-0.008001953,,
2002-09-30,-0.1086795085,-0.09546920836721345,-0.025997358,,
2002-08-31,0.006565387,0.016106747242042974,-0.0107937172,,
2002-07-31,-0.0779449033,-0.06202742644505326,-0.0233013896,,
2002-06-30,-0.0712394031,-0.05019477681098688,-0.0203276301,,
2002-05-31,-0.0073671938,0.010593231924436147,-0.0126474222,,
2002-04-30,-0.0606278439,-0.04836183201452309,0.0326629086,,
2002-03-31,0.0376093101,0.028184470653157892,0.0364146551,,
2002-02-28,-0.019285387,-0.002964494723303672,0.0193375713,,
2002-01-31,-0.0145931479,-0.010892317183642463,0.0088819892,,
2001-12-31,0.0087605667,0.0032627257467555213,0.026168029,,
2001-11-30,0.0767062798,0.07143912680260042,0.0408557138,,
2001-10-31,0.0190689757,0.0199170805336494,0.026005118,,
2001-09-30,-0.0807525475,-0.0661499014762159,-0.0123939564,,
2001-08-31,-0.0626017338,-0.0448557698707635,0.0297792108,,
2001-07-31,-0.0098441307,-0.01522075491030526,0.0374132805,,
2001-06-30,-0.0243385924,-0.00488481919642777,0.019048955,,
2001-05-31,0.0066999276,-0.007893292975631662,0.0327094681,,
2001-04-30,0.0777104815,0.07257328224809002,0.0889163862,,
2001-03-31,-0.0633506355,-0.04718298973853435,-0.0235525719,,
2001-02-28,-0.0911816911,-0.08438699479665825,0.0188243268,,
2001-01-31,0.0354790692,0.01246927689628284,-0.0035845616,,
2000-12-31,0.0048944004,0.00549238145232004,0.0279335648,,
2000-11-30,-0.0788395414,-0.08130347692973433,0.0022983977,,
2000-10-31,-0.0042275948,-0.0038713390348065063,0.028027905,,
2000-09-30,-0.0527933428,-0.04334694555406482,-0.0133044004,,
2000-08-31,0.0621143749,0.06937189068764084,0.0515936556,,
2000-07-31,-0.0156342066,0.004021618039716566,0.0241244525,,
2000-06-30,0.0246533167,0.016539039894334535,0.017688119,,
2000-05-31,-0.0205170754,-0.0007125565085122059,0.0099597281,,
2000-04-30,-0.0300814895,-0.005258514510368052,0.0112984454,,
2000-03-31,0.0978237844,0.0787510403082583,0.0409651649,,
2000-02-29,-0.0189296926,-0.014268114565058299,-0.0217301621,,
2000-01-31,-0.0502423814,-0.04409858722295064,-0.0299814772,,
