Date,S&P 500 w/ Div,Beta Portfolio,Fund 1,Fund 2,Fund 3
2000-01-31,-0.0502423814,-0.0440985872229506,-0.0312314772,,
2000-02-29,-0.0189296926,-0.0142681145650582,-0.0229801621,,
2000-03-31,0.0978237844,0.0787510403082583,0.0397151649,,
2000-04-30,-0.0300814895,-0.005258514510368,0.010048445400000001,,
2000-05-31,-0.0205170754,-0.0007125565085122,0.008709728100000001,,
2000-06-30,0.0246533167,0.0165390398943345,0.016438118999999998,,
2000-07-31,-0.0156342066,0.0040216180397165,0.0228744525,,
2000-08-31,0.0621143749,0.0693718906876408,0.0503436556,,
2000-09-30,-0.0527933428,-0.0433469455540648,-0.014554400399999999,,
2000-10-31,-0.0042275948,-0.0038713390348065,0.026777904999999998,,
2000-11-30,-0.0788395414,-0.0813034769297343,0.0010483977,,
2000-12-31,0.0048944004,0.00549238145232,0.002333606113691305,,
2001-01-31,0.0354790692,0.0124692768962828,-0.0048345616000000004,,
2001-02-28,-0.0911816911,-0.0843869947966582,0.017574326799999998,,
2001-03-31,-0.0633506355,-0.0471829897385343,-0.0248025719,,
2001-04-30,0.0777104815,0.07257328224809,0.0876663862,,
2001-05-31,0.0066999276,-0.0078932929756316,0.0314594681,,
2001-06-30,-0.0243385924,-0.0048848191964277,0.017798954999999998,,
2001-07-31,-0.0098441307,-0.0152207549103052,0.0361632805,,
2001-08-31,-0.0626017338,-0.0448557698707635,0.0285292108,,
2001-09-30,-0.0807525475,-0.0661499014762159,-0.013643956399999999,,
2001-10-31,0.0190689757,0.0199170805336494,0.024755118,,
2001-11-30,0.0767062798,0.0714391268026004,0.0396057138,,
2001-12-31,0.0087605667,0.0032627257467555,-0.02431583979151262,,
2002-01-31,-0.0145931479,-0.0108923171836424,0.0076319892000000005,,
2002-02-28,-0.019285387,-0.0029644947233036,0.018087571299999997,,
2002-03-31,0.0376093101,0.0281844706531578,0.0351646551,,
2002-04-30,-0.0606278439,-0.048361832014523,0.0314129086,,
2002-05-31,-0.0073671938,0.0105932319244361,-0.013897422199999999,,
2002-06-30,-0.0712394031,-0.0501947768109868,-0.021577630100000002,,
2002-07-31,-0.0779449033,-0.0620274264450532,-0.0245513896,,
2002-08-31,0.006565387,0.0161067472420429,-0.0120437172,,
2002-09-30,-0.1086795085,-0.0954692083672134,-0.027247358000000003,,
2002-10-31,0.0880164465,0.0556089900172483,-0.009251952999999999,,
2002-11-30,0.0588591375,0.0390354970363492,0.0750443316,,
2002-12-31,-0.0587480185,-0.0341080202480696,-0.015402399608082595,,
2003-01-31,-0.0261961851,-0.0170225339868611,-0.0130542002,,
2003-02-28,-0.0150040142,0.0034504466599878,0.0112384942,,
2003-03-31,0.0097089305,0.0085705015220742,-0.0090143185,,
2003-04-30,0.0823705479,0.089894721880775,0.0566788314,,
2003-05-31,0.0526871538,0.0420449687259215,0.0278885252,,
2003-06-30,0.0127568397,0.0075078142339444,0.041317168099999996,,
2003-07-31,0.01763135,0.0202353083189171,0.008180197600000001,,
2003-08-31,0.0195024991,0.0076523866292143,0.0236345242,,
2003-09-30,-0.0106195574,0.0027657614995373,-0.012911456,,
2003-10-31,0.0565700355,0.0593272783265622,0.041579574,,
2003-11-30,0.0087981489,0.0198914518715192,0.015783131,,
2003-12-31,0.0524445776,0.0249647061139488,0.007390153483770777,,
2004-01-31,0.0183549721,0.0159835516684476,0.0039642287,,
2004-02-29,0.0138994438,0.0344654149410645,-0.0194062431,,
2004-03-31,-0.0150862326,-0.0024896042515407,0.0196501056,,
2004-04-30,-0.0156984283,0.005876000033566,-0.0030735139,,
2004-05-31,0.0137228988,0.0205974235327927,0.0103137418,,
2004-06-30,0.019444937,0.0137717912155499,0.0315179619,,
2004-07-31,-0.033096938,-0.0218349892962816,-0.0006550946,,
2004-08-31,0.0040449416,0.0050582418448581,-0.0185820842,,
2004-09-30,0.0108305907,-0.0065958903329818,0.018734598999999998,,
2004-10-31,0.015277272,0.0019438267498368,0.0199608139,,
2004-11-30,0.0404615673,0.0388871632454776,0.022613972399999998,,
2004-12-31,0.0340286624,0.0360826234806001,-0.010162756528741206,,
2005-01-31,-0.0243750097,-0.0019732262207089,-0.020604790600000002,,
2005-02-28,0.0210442198,0.0239370892666106,0.0183829274,,
2005-03-31,-0.0177080503,0.0012431229963619,-0.012733681,,
2005-04-30,-0.0189654418,0.0017205301708992,-0.0202680499,,
